COLLATED,AICall,BICall,AICred,BICred,Accuracy,SensitivityAll,SpecificityAll,GLM p-values All
CITY,225,307,147,179,0.7653061,0,0.9615385,Catham - 0.048. 
SOURCE,175,184,124,133,0.7959184,0,1,"R-0.00132, "
LOCAL,204,217,141,150,0.7959184,0,1,"U,-.34, I-.35"
EXPECTED,101,140,74,91,0.7142857,0.075,0.8782051,All approx 1
REAL,124,186,74,89,0.627551,0.125,0.7564103,All approx 1
PRICE,190,197,130,136,0.7908163,0.025,0.9871795,thePrice-.00101
IUCN,200,220,142,157,0.7959184,0,1,LC-.36
MONTH,204,243,139,168,0.7959184,0,1,"May-0.13, sep, -.15"
SEASON,203,216,139,150,0.7959184,0,1,summer-.126
CUT,196,203,131,137,0.7959184,0,1,isCut-0.0154 
MIXED,201,207,141,147,0.7959184,0,1,isMixed-0.327
RAW,188,195,132,138,0.7959184,0,1,isRaw-0.989
